,title,creator,checkouts,materialtype
43204,Snow sounds : an onomatopoeic story / David A. Johnson.,"Johnson, David, 1951 February 18-",12,BOOK
37345,Thing explainer : complicated stuff in simple words / Randall Munroe.,"Munroe, Randall",12,BOOK
38297,Marvel cinematic universe storybook collection.,,12,BOOK
46066,Mistakes were made / Stephan Pastis.,"Pastis, Stephan",12,BOOK
26035,"That wolf-boy is mine! 1 / Yoko Nogiri ; [translation, Alethea and Athena Nibley ; lettering, Sara Linsley ; editing, Haruko Hashimoto].","Nogiri, Yoko",12,BOOK
4198,The namesake / Jhumpa Lahiri.,"Lahiri, Jhumpa",12,BOOK
5448,"At home in the world : reflections on belonging while wandering the globe : an adventure across 4 continents with 3 kids, 1 husband, and 5 backpacks / Tsh Oxenreider.","Oxenreider, Tsh, 1977-",12,BOOK
14552,Nuts in space / by Elys Dolan.,"Dolan, Elys",12,BOOK
21490,Space Dog / Mini Grey.,"Grey, Mini",12,BOOK
6182,"Black edge : inside information, dirty money, and the quest to bring down the most wanted man on Wall Street / Sheelah Kolhatkar.","Kolhatkar, Sheelah",12,BOOK
22299,Snow joke / by Bruce Degen.,"Degen, Bruce",12,BOOK
38864,The adventures of Super Diaper Baby / [Dav Pilkey].,"Pilkey, Dav, 1966-",12,BOOK
16544,The sunshine sisters / Jane Green.,"Green, Jane, 1968-",12,BOOK
16542,The three bears / Byron Barton.,"Barton, Byron",12,BOOK
44835,The universe has your back : transform fear to faith / Gabrielle Bernstein.,"Bernstein, Gabrielle",12,BOOK
42598,I love cats! / by Sue Stainton and Bob Staake.,"Stainton, Sue",12,BOOK
45973,The amber spyglass / Philip Pullman.,"Pullman, Philip, 1946-",12,BOOK
13555,The king of too many things / words by Laurel Snyder ; pictures by Aurore Damant.,"Snyder, Laurel",12,BOOK
28264,Danger : dinosaurs! / adapted by Courtney Carbone.,"Carbone, Courtney",12,BOOK
14599,My Little Pony : friendship is magic. 13.,,12,BOOK
1858,"Bee and PuppyCat. Volume three / created by Natasha Allegri ; written by Patrick Seery ; illustrated by Ji in Kim ; letters by Leigh Luna, Warren Montgomery ; cover by Natasha Allegri.","Allegri, Natasha, 1986-",12,BOOK
7788,The course of love : a novel / Alain de Botton.,"De Botton, Alain",12,BOOK
5763,Knock em' dead : the ultimate job search guide / Martin Yate.,"Yate, Martin John",12,BOOK
31735,Shrek! / William Steig.,"Steig, William, 1907-2003",12,BOOK
3864,The storm before the storm : the beginning of the end of the Roman Republic / Michael Duncan.,"Duncan, Mike (Podcaster)",12,BOOK
35656,If I had a little dream / by Nina Laden ; illustrated by Melissa Castrillon.,"Laden, Nina",12,BOOK
14731,Of mice and men / John Steinbeck ; with an introduction by Susan Shillinglaw.,"Steinbeck, John, 1902-1968",12,BOOK
7223,"Runaways : the complete collection. Volume two / Brian K. Vaughan ; pencilers, Adrian Alphona & Takeshi Miyazawa ; inks, Craig Yeung ; colors, Christina Strain ; letters, Virtual Calligraphy's Randy Gentile.","Vaughan, Brian K.",12,BOOK
16403,The Outsiders / by S. E. Hinton.,"Hinton, S. E.",12,BOOK
23330,A ghost tale for Christmas time / by Mary Pope Osborne ; illustrated by Sal Murdocca.,"Osborne, Mary Pope",12,BOOK
15663,The complete Persepolis / Marjane Satrapi.,"Satrapi, Marjane, 1969-",12,BOOK
33509,Your very own robot / by R.A. Montgomery ; [illustrated by Keith Newton].,"Montgomery, R. A.",12,BOOK
15254,Curious George. A home for honeybees / adaptation by Julie Tibbott ; based on the TV series teleplay written by Ron Holsey.,"Tibbott, Julie",12,BOOK
44898,Greece / written and researched by Korina Miller [and eight others].,"Miller, Korina",12,BOOK
6254,The complete make-ahead cookbook : from appetizers to desserts : 500 recipes you can make in advance / the editors at America's Test Kitchen.,,12,BOOK
43067,Winter of the ice wizard / by Mary Pope Osborne ; illustrated by Sal Murdocca.,"Osborne, Mary Pope",12,BOOK
46736,Autumn festival fun / adapted by Tina Gallo.,"Gallo, Tina",12,BOOK
33227,Judy Moody predicts the future / Megan McDonald ; illustrated by Peter Reynolds.,"McDonald, Megan",12,BOOK
6693,"Trolls. #3, Party with the Bergens / script, Dave Scheidt, Rafal Skarzycki, Michal Galek ; art and colors, Kathryn Hudson, Artful Doodlers.","Scheidt, Dave",12,BOOK
14841,On Turpentine Lane / Elinor Lipman.,"Lipman, Elinor",12,BOOK
9715,Ninja! attack of the clan / Arree Chung.,"Chung, Arree",12,BOOK
30843,Goose goes to the zoo / by Laura Wall.,"Wall, Laura",12,BOOK
49688,"Love, Splat / Rob Scotton.","Scotton, Rob",12,BOOK
46542,"Dance class. [9, Dancing in the rain] / Crip, art ; Béka, story ; Maëla Cosson, color ; [Joe Johnson, translation].",Béka,12,BOOK
47981,"Last Hope Island : Britain, occupied Europe, and the brotherhood that helped turn the tide of war / Lynne Olson.","Olson, Lynne",12,BOOK
13777,"Pokémon adventures. Black 2 & White 2. Volume 1 / story by Hidenori Kusaka ; art by Satoshi Yamamoto ; translation,Tetsuichiro Miyaki ; English adaptation, Annette Roman.","Kusaka, Hidenori",11,BOOK
48402,An unkindness of magicians / Kat Howard.,"Howard, Kat",11,BOOK
23543,Lucky boy / Shanthi Sekaran.,"Sekaran, Shanthi, 1977-",11,BOOK
10689,Martin's dream day / Kitty Kelley ; photographs: Stanley Tretick.,"Kelley, Kitty",11,BOOK
29520,"On the farm, at the market / G. Brian Karas.","Karas, G. Brian",11,BOOK
17769,Thankfulness is awesomeness / Tina Gallo.,"Gallo, Tina",11,BOOK
17564,Moana : the essential guide / written by Barbara Bazaldua.,"Bazaldua, Barbara",11,BOOK
41878,Mr. Postmouse's rounds / Marianne Dubuc.,"Dubuc, Marianne, 1980-",11,BOOK
40833,"Hashimoto's protocol : a 90-day plan for reversing thyroid symptoms and getting your life back / Izabella Wentz, PharmD, FASCP.","Wentz, Izabella",11,BOOK
36419,Your grandparents are ninjas / by Anson Montgomery ; [illustrated by Keith Newton].,"Montgomery, Anson",11,BOOK
10837,Banana muffins and other stories / Catharine O'Neill.,"O'Neill, Catharine",11,BOOK
23354,Daisy-head Mayzie / by Dr. Seuss ; with illustrations based on sketches by the author.,"Seuss, Dr.",11,BOOK
36791,Hot rod hamster! / by Cynthia Lord ; pictures by Derek Anderson.,"Lord, Cynthia",11,BOOK
48572,A book for Benny / Judith Koppens & Marja Meijer.,"Koppens, Judith, 1969-",11,BOOK
8522,Leap! / JonArno Lawson ; illustrated by Josée Bisaillon.,"Lawson, JonArno",11,BOOK
45394,My Little Pony. The cutie map / story by Meghan McCarthy ; adaptation by Justin Eisinger ; edits by Alonzo Simon ; lettering and design by Gilberto Lazcano.,"McCarthy, Meghan",11,BOOK
48680,"Good morning, Grumple / Victoria Allenby ; illustrations by Manon Gauthier.","Allenby, Victoria, 1989-",11,BOOK
46426,Everyone loves Cupcake / Kelly DiPucchio ; pictures by Eric Wight.,"DiPucchio, Kelly",11,BOOK
49853,Now look what you've done / Stephan Pastis.,"Pastis, Stephan",11,BOOK
46240,Warts and all : a book of unconditional love / Lori Haskins Houran ; pictures by Sydney Hanson.,"Houran, Lori Haskins",11,BOOK
18641,Fancy Nancy : budding ballerina / based on Fancy Nancy written by Jane O'Connor ; cover illustration by Robin Preis Glasser ; interior illustrations by Carolyn Bracken.,"O'Connor, Jane",11,BOOK
31077,The new bohemians : cool & collected homes / Justina Blakeney ; photography by Dabito.,"Blakeney, Justina",11,BOOK
32331,The lost plot / Genevieve Cogman.,"Cogman, Genevieve",11,BOOK
34444,A cheese-colored camper / Geronimo Stilton.,"Stilton, Geronimo",11,BOOK
41729,"I hear a pickle : (and smell, see, touch, and taste it, too!) / Rachel Isadora.","Isadora, Rachel",11,BOOK
41727,My monster mama loves me so / Laura Leuck ; illustrations by Mark Buehner.,"Leuck, Laura",11,BOOK
20788,"Ponyo. 1 / original story and screenplay written and directed by Hayao Miyazaki ; [translated from the original Japanese by Jim Hubbert ; English language screenplay by Melissa Mathison ; film comic adaptation, Mai Ihara ; lettering, Rina Mapa].","Miyazaki, Hayao, 1941-",11,BOOK
7583,Prisoners of geography : ten maps that explain everything about the world / Tim Marshall.,"Marshall, Tim, 1959-",11,BOOK
3125,Trapped in the Overworld / Winter Morgan.,"Morgan, Winter",11,BOOK
36951,The death cure / James Dashner.,"Dashner, James, 1972-",11,BOOK
26784,"Member of the family : my story of Charles Manson, life inside his cult, and the darkness that ended the sixties / Dianne Lake and Deborah Herman.","Lake, Dianne, 1953-",11,BOOK
15691,Through my eyes / Ruby Bridges ; articles and interviews compiled and edited by Margo Lundell.,"Bridges, Ruby",11,BOOK
2805,Mingo the flamingo / written & created by Pete Oswald and Justin K. Thompson.,"Oswald, Pete",11,BOOK
27828,Between them : remembering my parents / Richard Ford.,"Ford, Richard, 1944-",11,BOOK
40331,The Barefoot book of pirates / retold by Richard Walker ; illustrated by Olwyn Whelan ; narrated by Richard Hope.,"Walker, Richard, 1943-1999",11,BOOK
30880,The invisible boy / by Trudy Ludwig ; illustrated by Patrice Barton.,"Ludwig, Trudy",11,BOOK
8745,Before she was Harriet / Lesa Cline-Ransome ; illustrated by James E. Ransome.,"Cline-Ransome, Lesa",11,BOOK
35483,"I want to be in a scary story / Sean Taylor, Jean Jullien.","Taylor, Sean, 1965-",11,BOOK
5398,Codependent no more : how to stop controlling others and start caring for yourself / Melody Beattie.,"Beattie, Melody",11,BOOK
17757,"Kid Beowulf. 2, The song of Roland / story & art by Alexis E. Fajardo ; color by Jose Mari Flores ; prologue color by Brian Kolm.","Fajardo, Alexis E.",11,BOOK
21104,Trees / Lemiscates.,Lemniscates,11,BOOK
13656,Cutting for stone : a novel / Abraham Verghese.,"Verghese, A. (Abraham), 1955-",11,BOOK
23590,A good day for a hat / written by T. Nat Fuller ; illustrated by Rob Hodgson.,"Fuller, T. Nat",11,BOOK
17438,The women of Brewster Place / Gloria Naylor.,"Naylor, Gloria",11,BOOK
10515,I am Pusheen the cat / Claire Belton.,"Belton, Claire",11,BOOK
40087,"Whobert Whover, owl detective / Jason Gallaher ; illustrated by Jess Pauwels.","Gallaher, Jason",11,BOOK
17740,Fight the Empire / written by David Fentiman.,"Fentiman, David",11,BOOK
37030,The complete Cook's Country TV show cookbook : every recipe and every review from all ten seasons / the editors at America's Test Kitchen.,,11,BOOK
26346,Bear & Hare snow! / Emily Gravett.,"Gravett, Emily",11,BOOK
34185,A brief history of time / Stephen Hawking.,"Hawking, Stephen, 1942-",11,BOOK
44198,Zingerman's Bakehouse / Amy Emberling & Frank Carollo ; photographs by Antonis Achilleos.,"Emberling, Amy",11,BOOK
32365,No room for baby! / [written and illustrated by] Émile Jadoul.,"Jadoul, Emile",11,BOOK
20783,One word from Sophia / Jim Averbeck ; and [illustrated by] Yasmeen Ismail.,"Averbeck, Jim",11,BOOK
23556,A field guide to getting lost / Rebecca Solnit.,"Solnit, Rebecca",11,BOOK
24154,Norwegian wood / Haruki Murakami ; translated from the Japanese by Jay Rubin.,"Murakami, Haruki, 1949-",11,BOOK
27740,The waters of eternal youth / Donna Leon.,"Leon, Donna",11,BOOK
36342,"Move your DNA / Katy Bowman ; illustrations, Jillian Nicol ; foreword by Jason Lewis.","Bowman, Katy",11,BOOK
22412,The grim grotto / by Lemony Snicket ; illustrations by Brett Helquist.,"Snicket, Lemony",11,BOOK
16692,"Minimalist Baker's everyday cooking : 101 entirely plant-based, mostly gluten-free, easy and delicious recipes / Dana Shultz.","Shultz, Dana",11,BOOK
40001,The invisible library / Genevieve Cogman.,"Cogman, Genevieve",11,BOOK
45196,The sweetness at the bottom of the pie / Alan Bradley.,"Bradley, C. Alan, 1938-",11,BOOK
49542,Simpsons comics. Chaos / created by Matt Groening.,,11,BOOK
1216,Myers+Chang at home : yum me yum you : recipes from the beloved Boston eatery / Joanne Chang and Karen Akunowicz ; preface by Christopher Myers ; photography by Kristin Teig.,"Chang, Joanne",11,BOOK
28505,Manatees / Laura Marsh.,"Marsh, Laura F.",11,BOOK
43921,To all the boys I've loved before / Jenny Han.,"Han, Jenny",11,BOOK
20066,The art of racing in the rain : a novel / Garth Stein.,"Stein, Garth",11,BOOK
40696,Rapunzel / Bethan Woollvin.,"Woollvin, Bethan",11,BOOK
26129,Housekeeping / Marilynne Robinson.,"Robinson, Marilynne",11,BOOK
27069,Stick Dog wants a hot dog / by Tom Watson ; [illustrations by Ethan Long based on original sketches by Tom Watson].,"Watson, Tom, 1965-",11,BOOK
4712,Mindfulness : an eight-week plan for finding peace in a frantic world / Mark Williams and Danny Penman ; foreword by Jon Kabat-Zinn.,"Williams, J. Mark G.",11,BOOK
10068,"Nancy Clancy, late-breaking news! / written by Jane O'Connor ; illustrations by Robin Preiss Glasser.","O'Connor, Jane",11,BOOK
12934,The amazing adventures of Kavalier & Clay : a novel / Michael Chabon.,"Chabon, Michael",11,BOOK
49879,"Quackery : a brief history of the worst ways to cure everything / Lydia Kang, MD, Nate Pedersen.","Kang, Lydia",11,BOOK
40701,The wonderful fluffy little squishy / Beatrice Alemagna ; translated from the French by Claudia Zoe Bedrick.,"Alemagna, Béatrice",11,BOOK
22513,Magical mission / Geronimo Stilton ; [illustrations by Alessandro Muscillo (pencils and inks) and Christian Aliprandi (color) ; translated by Lidia Morson Tramontozzi].,"Stilton, Geronimo",11,BOOK
42239,Food trucks! / written and illustrated by Mark Todd.,"Todd, Mark, 1970-",11,BOOK
21362,Clam-I-am! / by Tish Rabe ; illustrated by Aristides Ruiz and Joe Mathieu.,"Rabe, Tish",11,BOOK
12939,Day and night / by Shira Evans.,"Evans, Shira",11,BOOK
35936,Beautiful blackbird / Ashley Bryan.,"Bryan, Ashley",11,BOOK
33583,Flight of the Moon Dragon / by Tracey West ; illustrated by Damien Jones.,"West, Tracey, 1965-",11,BOOK
43167,Big food big love : Down-home Southern cooking full of heart from Seattle's Wandering Goose / Heather L. Earnhardt ; photography by Jim Henkens.,"Earnhardt, Heather",11,BOOK
36283,"One leaf, two leaves, count with me! / John Micklos Jr. ; illustrated by Clive McFarland.","Micklos, John",11,BOOK
9408,Who we are! : all about being the same and being different / Robie H. Harris ; illustated by Nadine Bernard Westcott.,"Harris, Robie H.",11,BOOK
19838,"Tangled, the series. Take on the world : cinestory comic",,11,BOOK
29901,Impeachment : a citizen's guide / Cass R. Sunstein.,"Sunstein, Cass R.",11,BOOK
16579,At the strangers' gate : arrivals in New York / Adam Gopnik.,"Gopnik, Adam",11,BOOK
19666,Dead man's blues : a novel / Ray Celestin.,"Celestin, Ray",11,BOOK
21578,"If you ever want to bring a circus to the library, don't! / Elise Parsley.","Parsley, Elise",11,BOOK
37251,Ming and her Poppy / written by Deirdre Sullivan ; illustrated by Maja Löfdahl.,"Sullivan, Deirdre",11,BOOK
4240,Eloise's summer vacation / story by Lisa McClatchy ; illustrated by Tammie Lyon.,"McClatchy, Lisa",11,BOOK
34741,Christmas days : 12 stories and 12 feasts for 12 days / Jeanette Winterson.,"Winterson, Jeanette, 1959-",11,BOOK
38520,"Full catastrophe living : using the wisdom of your body and mind to face stress, pain, and illness / Jon Kabat-Zinn, PhD.","Kabat-Zinn, Jon",11,BOOK
38420,Beauty and the Beast / retold by Cynthia Rylant ; pictures by Meg Park.,"Rylant, Cynthia",11,BOOK
35578,"The DASH diet weight loss solution : 2 weeks to drop pounds, boost metabolism, and get healthy / Marla Heller.","Heller, Marla",11,BOOK
47410,Big fat hen / illustrated by Keith Baker.,"Baker, Keith, 1953-",11,BOOK
9269,One lonely fish : a counting book with bite / Andy Mansfield [concept and design] & Thomas Flintham [illustrator].,"Flintham, Thomas",11,BOOK
41447,The party / Elizabeth Day.,"Day, Elizabeth, 1978-",11,BOOK
34353,Dot. / Randi Zuckerberg ; illustrated by Joe Berger.,"Zuckerberg, Randi",11,BOOK
24511,"The phantom of the theater / Geronimo Stilton ; [illustrations by Ivan Bigarella, Antonio Campro and Daria Cerchi ; translated by Anna Pizzelli].","Stilton, Geronimo",11,BOOK
24307,Cat / written by Juliet Clutton-Brock.,"Clutton-Brock, Juliet",11,BOOK
38415,What's next door? / Nicola O'Byrne.,"O'Byrne, Nicola",11,BOOK
33828,"Splat the Cat : blow, snow, blow / cover art by Rick Farley ; text by Amy Hsu Lin ; interior illustrations by Robert Eberz.","Hsu Lin, Amy",11,BOOK
26926,No jumping on the bed! / Tedd Arnold.,"Arnold, Tedd",11,BOOK
4748,Cooked : a natural history of transformation / Michael Pollan.,"Pollan, Michael",11,BOOK
18476,T. Veg : the story of a carrot-crunching dinosaur / words by Smriti Prasadam-Halls ; pictures by Katherina Manolessou.,"Prasadam-Halls, Smriti",11,BOOK
26573,Star Wars galactic maps : an illustrated atlas of the Star Wars universe / written by Emil Fortune ; illustrated by Tim McDonagh.,"Fortune, Emil",11,BOOK
36974,"Move fast and break things : how Facebook, Google, and Amazon cornered culture and undermined democracy / Jonathan Taplin.","Taplin, Jonathan T.",11,BOOK
27253,Princess Princess ever after / by Katie O'Neill ; edited by Ari Yarwood ; designed by Fred Chao.,"O'Neill, Katie (Cartoonist)",11,BOOK
48148,Nelly Gnu and Daddy too / Anna Dewdney.,"Dewdney, Anna",11,BOOK
41598,The princess and the pig / Jonathan Emmett ; [illustrated by] Poly Bernatene.,"Emmett, Jonathan",11,BOOK
44647,Snowflake Bentley / Jacqueline Briggs Martin ; illustrated by Mary Azarian.,"Martin, Jacqueline Briggs",11,BOOK
22707,The three Billy goats Gruff / Paul Galdone.,"Asbjørnsen, Peter Christen, 1812-1885",11,BOOK
46321,No-no boy / John Okada ; with a new foreword by Ruth Ozeki ; introduction by Lawson Fusao Inada ; afterword by Frank Chin.,"Okada, John",11,BOOK
28321,"Officer Panda, sky detective / by Ashley Crowley.","Crowley, Ashley",11,BOOK
34306,Surprise! / Mike Henson.,"Henson, Mike",11,BOOK
2231,Frog sat / by Lynn Maslen Kertell ; pictures by Sue Hendra.,"Kertell, Lynn Maslen.",11,BOOK
28141,Forest of secrets / Erin Hunter.,"Hunter, Erin",11,BOOK
18501,Bobo the sailor man! / by Eileen Rosenthal ; illustrated by Marc Rosenthal.,"Rosenthal, Eileen",11,BOOK
41647,Touch the Earth / Julian Lennon with Bart Davis ; illustrated by Smiljana Coh.,"Lennon, Julian, 1963-",11,BOOK
4420,"The willpower instinct : how self-control works, why it matters, and what you can do to get more of it / Kelly McGonigal.","McGonigal, Kelly",11,BOOK
2268,The Cuban affair / Nelson DeMille.,"DeMille, Nelson",11,BOOK
31832,Seven stones to stand or fall : a collection of Outlander fiction / Diana Gabaldon.,"Gabaldon, Diana",11,BOOK
12334,The whistler : [a novel] / John Grisham.,"Grisham, John",11,BOOK
407,"Primal fat burner : live longer, slow aging, super-power your brain, and save your life with a high-fat, low-carb paleo diet / Nora Gedgaudas, CNS, NTP, BCHN ; foreword by David Perlmutter, MD","Gedgaudas, Nora T.",11,BOOK
41038,The case of the buried treasure / by James Preller ; illustrated by Jamie Smith ; cover illustration by R.W. Alley.,"Preller, James",11,BOOK
3461,Supertruck / Stephen Savage.,"Savage, Stephen, 1965-",11,BOOK
35875,How to dork your diary / Rachel Renée Russell.,"Russell, Rachel Renée",11,BOOK
44582,The likeness / Tana French.,"French, Tana",11,BOOK
35110,Brobot bedtime : a story / by Sudipta Bardhan-Quallen ; pictures by Scott Campbell.,"Bardhan-Quallen, Sudipta",11,BOOK
14998,Get your sh*t together : how to stop worrying about what you should do so you can finish what you need to do and start doing what you want to do / Sarah Knight.,"Knight, Sarah (Freelance editor)",11,BOOK
45236,Kinsey and me : stories / Sue Grafton.,"Grafton, Sue",11,BOOK
608,The 65-story treehouse / Andy Griffiths ; illustrated by Terry Denton.,"Griffiths, Andy, 1961-",11,BOOK
10238,The great pasta escape / by Miranda Paul ; illustrated by Javier Joaquin.,"Paul, Miranda",11,BOOK
14377,Two girls down : a novel / Louisa Luna.,"Luna, Louisa,",11,BOOK
5097,The Dumb Bunnies / by Dav Pilkey.,"Pilkey, Dav, 1966-",11,BOOK
46685,The McElderry book of Aesop's fables / Michael Morpurgo ; illustrations by Emma Chichester Clark.,"Morpurgo, Michael",11,BOOK
37498,Rick Steves' Provence & the French Riviera / Rick Steves & Steve Smith.,"Steves, Rick, 1955-",11,BOOK
16299,"The Elsewhere chronicles. Book one, The shadow door / art, Bannister ; story, Nykko ; colors, Jaffré ; [translation by Carol Klio Burrell].",Bannister,11,BOOK
36653,Best pirate / written by Kari-Lynn Winters ; illustrated by Dean Griffiths.,"Winters, Kari-Lynn, 1969-",11,BOOK
9462,Bunny cakes / by Rosemary Wells.,"Wells, Rosemary",11,BOOK
28223,"Trombone Shorty / words by Troy ""Trombone Shorty"" Andrews ; pictures by Bryan Collier.","Andrews, Troy",11,BOOK
12584,Locker hero / Rachel Renée Russell ; with Nikki Russell and Erin Russell.,"Russell, Rachel Renée",11,BOOK
43655,A grandfather's lessons : in the kitchen with Shorey / Jacques Pépin ; photographs by Tom Hopkins ; illustrations by Jacques Pépin.,"Pépin, Jacques",11,BOOK
27773,Unforgettable : the bold flavors of Paula Wolfert's renegade life / Emily Kaiser Thelin ; forward by Alice Waters ; photography by Eric Wolfinger ; editing by Andrea Nguyen ; recipes by Paula Wolfert.,"Thelin, Emily Kaiser",11,BOOK
45226,The wooden camel / written by Wanuri Kahiu ; illustrated by Manuela Adreani.,"Kahiu, Wanuri",11,BOOK
4834,Hedgehugs / Steve Wilson & Lucy Tapper.,"Wilson, Steve, 1974-",10,BOOK
44901,"An inconvenient sequel : truth to power : your action handbook to learn the science, find your voice, and help solve the climate crisis / Al Gore.","Gore, Al, 1948-",10,BOOK
41275,Dory and the real true friend / Abby Hanlon.,"Hanlon, Abby",10,BOOK
44889,Movie magic / written by Rebecca L. Schmidt.,"Schmidt, Rebecca L.",10,BOOK
33572,The secret keepers / Trenton Lee Stewart ; illustrated by Diana Sudyka.,"Stewart, Trenton Lee",10,BOOK
33756,Chibi Samurai wants a pet : an adventure with Little Kunoichi the ninja girl / written and illustrated by Sanae Ishida.,"Ishida, Sanae",10,BOOK
31141,Riff Raff sails the high cheese / written by Susan Schade ; pictures by Anne Kennedy.,"Schade, Susan",10,BOOK
10824,Sage living : decorate for the life you want / Anne Sage ; photographs by Emily Johnston.,"Sage, Anne",10,BOOK
12755,Half baked harvest cookbook : recipes from my barn in the mountains / Tieghan Gerard.,"Gerard, Tieghan",10,BOOK
18932,PJ Masks make friends / adapted by Carla Spinner.,"Spinner, Cala",10,BOOK
31840,The three little aliens and the big bad robot / Margaret McNamara ; illustrated by Mark Fearing.,"McNamara, Margaret",10,BOOK
34487,"Smithsonian children's illustrated atlas / writer and consultant, Andrew Brooks ; illustrators, Maltings Partnership, Daniel Long.","Brooks, Andrew",10,BOOK
21707,"The healing of America : a global quest for better, cheaper, and fairer health care / T.R. Reid.","Reid, T. R.",10,BOOK
30411,Don't let go / Harlan Coben.,"Coben, Harlan, 1962-",10,BOOK
5548,Miss Peregrine's home for Peculiar Children / by Ransom Riggs.,"Riggs, Ransom",10,BOOK
47517,The pirate jamboree / by Mark Teague.,"Teague, Mark",10,BOOK
48548,Fun in the sun / by Bobby Lynn Maslen ; pictures by John R. Maslen.,"Maslen, Bobby Lynn",10,BOOK
23532,Olivia plays soccer / adapted by Tina Gallo ; illustrated by Jared Osterhold.,"Gallo, Tina",10,BOOK
31051,How this book was made : based on a true story / Mac Barnett ; [illustrated by] Adam Rex.,"Barnett, Mac",10,BOOK
4662,The sheep who hatched an egg / Gemma Merino.,"Merino, Gemma",10,BOOK
7629,"BroBots and the mecha malarkey! 2 / written by J. Torres ; art, lettering, & design by Sean Dove ; edited by James Lucas Jones.","Torres, J., 1969-",10,BOOK
45818,"Animals at night : a glow-in-the-dark book / Anne Jankeliowitch, Delphine Chedru ; [translated from the French by Eve Bodeux].","Jankeliowitch, Anne",10,BOOK
13549,An excessive alphabet : avalanches of As to zillions of Zs / written by Judi Barrett ; illustrated by Ron Barrett.,"Barrett, Judi",10,BOOK
47558,All that glitters / Lisa Ann Scott ; illustrated by Heather Burns.,"Scott, Lisa Ann",10,BOOK
464,Big Nate. All work and no play : a collection of Sundays / by Lincoln Peirce.,"Peirce, Lincoln",10,BOOK
40050,"Iceland / this edition written and researched by Carolyn Bain, Alexis Averbuck.","Bain, Carolyn (Carolyn Joy)",10,BOOK
45446,"Eyewitness travel Mexico / main contributors, Nick Caistor, Maria Doulton, Petra Fischer, Eduardo Gleason, Phil Gunson, Alan Knight, Felicity Laughton, Richard Nichols, Chloë Sayer.",,10,BOOK
44954,Wordplay / a Toon book by Ivan Brunetti.,"Brunetti, Ivan",10,BOOK
23486,Nocturnes : five stories of music and nightfall / Kazuo Ishiguro.,"Ishiguro, Kazuo, 1954-",10,BOOK
16053,Mind game / Iris Johansen.,"Johansen, Iris",10,BOOK
3988,"Fika : the art of the Swedish coffee break, with recipes for pastries, breads, and other treats / Anna Brones & Johanna Kindvall.","Brones, Anna",10,BOOK
44389,There's someone inside your house / a novel by Stephanie Perkins.,"Perkins, Stephanie",10,BOOK
36056,The autobiography of Malcolm X / with the assistance of Alex Haley ; foreword by Attallah Shabazz ; introduction by M.S. Handler ; epilogue by Alex Haley ; afterword by Ossie Davis.,"X, Malcolm, 1925-1965",10,BOOK
23121,Siddhartha : an Indian tale / Hermann Hesse ; translated from the German by Joachim Neugroschel ; with an introduction by Ralph Freedman.,"Hesse, Hermann, 1877-1962",10,BOOK
10185,Yeti and the bird / written and illustrated by Nadia Shireen.,"Shireen, Nadia",10,BOOK
9104,Children's book of mythical beasts & magical monsters.,,10,BOOK
8634,"Celebrate Chinese New Year / by Carolyn Otto ; consultant, Haiwang Yuan.","Otto, Carolyn",10,BOOK
46587,Magic cakes / Kathleen Royal Phillips.,"Phillips, Kathleen Royal.",10,BOOK
47176,Smurf cake / by Peyo.,Peyo,10,BOOK
30612,My garden / Kevin Henkes.,"Henkes, Kevin",10,BOOK
24903,"Scotland / main contributors, Juliet Clough, Keith Davidson, Sandie Randall & Alistair Scott.","Clough, Juliet",10,BOOK
47329,My pantry / Alice Waters ; with Fanny Singer ; illustrations by Fanny Singer.,"Waters, Alice",10,BOOK
33480,"If it's snowy and you know it, clap your paws! / by Kim Norman ; illustrated by Liza Woodruff.","Norman, Kim",10,BOOK
10243,Battle in the Overworld / Winter Morgan.,"Morgan, Winter",10,BOOK
30543,Vegan Richa's Indian kitchen : traditional and creative recipes for the home cook / Richa Hingle.,"Hingle, Richa",10,BOOK
33152,Make space : a minimalist's guide to the good and the extraordinary / Regina Wong.,"Wong, Regina",10,BOOK
38200,The woman in cabin 10 / Ruth Ware.,"Ware, Ruth",10,BOOK
16575,Miss Tracy is spacey! / Dan Gutman ; pictures by Jim Paillot.,"Gutman, Dan",10,BOOK
22710,Tiny the birthday dog / by Cari Meister ; illustrated by Rich Davis.,"Meister, Cari",10,BOOK
16195,Epic LEGO adventures with bricks you already have / Sarah Dees.,"Dees, Sarah",10,BOOK
30243,"Get what's yours : the secrets to maxing out your Social Security revised and updated / Laurence J. Kotlikoff, Philip Moeller, and Paul Solman.","Kotlikoff, Laurence J.",10,BOOK
31613,"Wired to eat : turn off cravings, rewire your appetite for weight loss, and determine the foods that work for you / Robb Wolf.","Wolf, Robb",10,BOOK
34713,Spain / [written by Victoria Trott ; edited by Carine Tracanelli].,"Trott, Victoria",10,BOOK
38980,Animalia / Graeme Base.,"Base, Graeme",10,BOOK
3508,The ruins of Gorlan / John Flanagan.,"Flanagan, John (John Anthony)",10,BOOK
18977,"Thank you, Octopus / Darren Farrell.","Farrell, Darren",10,BOOK
48233,Little Plane learns to write / by Stephen Savage.,"Savage, Stephen, 1965-",10,BOOK
30245,Everyday watercolor : learn to paint watercolor in 30 days / Jenna Rainey.,"Rainey, Jenna, 1989-",10,BOOK
